,station_distance_error_mean,visibility_mean,dry_bulb_celsius_mean,wet_bulb_celsius_mean,dew_point_celsius_mean,relative_humidity_mean,wind_speed_mean,station_pressure_mean,hourly_precip_mean,altimeter_mean,station_distance_error_max,visibility_max,dry_bulb_celsius_max,wet_bulb_celsius_max,dew_point_celsius_max,relative_humidity_max,wind_speed_max,station_pressure_max,hourly_precip_max,altimeter_max,station_distance_error_min,visibility_min,dry_bulb_celsius_min,wet_bulb_celsius_min,dew_point_celsius_min,relative_humidity_min,wind_speed_min,station_pressure_min,hourly_precip_min,altimeter_min,was_delayed,was_delayed_weather
visibility_min,-0.016116853,0.718780987,0.116494929,0.00447105,0.00447105,-0.481058167,0.013370287,-0.015635513,-0.281038516,0.110585131,-0.025220179,0.061941946,0.139969339,-0.001286725,-0.001286725,-0.482931384,-0.018757341,0.00386273,-0.283179884,0.059330958,0.017557451,1,0.087192192,0.022935418,0.022935418,-0.321305291,0.045056277,-0.016897355,-0.030788571,0.137947557,-0.027474209,-0.048241776
dry_bulb_celsius_min,-0.053213713,0.069457624,0.939446513,0.934729208,0.934729208,-0.011629962,-0.106542096,0.104002108,0.020039609,-0.16432901,-0.045017145,-0.013247844,0.759919158,0.778338032,0.778338032,-0.049864777,-0.160158813,-0.031530628,0.036011852,-0.325152797,0.002452568,0.087192192,1,0.97357335,0.97357335,0.02399216,-0.048439051,0.12615852,-0.006268149,0.032616066,0.00907916,0.027742253
wet_bulb_celsius_min,-0.048279552,0.005416062,0.913241822,0.948363595,0.948363595,0.138634835,-0.14333478,0.164598976,0.036744504,-0.160468355,-0.04305526,-0.040176127,0.732788338,0.780496427,0.780496427,0.079101605,-0.193826379,-0.020592983,0.051381843,-0.333654813,0.005126418,0.022935418,0.97357335,1,1,0.13335876,-0.072849542,0.193652558,-0.001845982,0.044315526,0.006677179,0.029576193
dew_point_celsius_min,-0.048279552,0.005416062,0.913241822,0.948363595,0.948363595,0.138634835,-0.14333478,0.164598976,0.036744504,-0.160468355,-0.04305526,-0.040176127,0.732788338,0.780496427,0.780496427,0.079101605,-0.193826379,-0.020592983,0.051381843,-0.333654813,0.005126418,0.022935418,0.97357335,1,1,0.13335876,-0.072849542,0.193652558,-0.001845982,0.044315526,0.006677179,0.029576193
relative_humidity_min,-0.006929875,-0.360042161,-0.118976542,0.100689198,0.100689198,0.792285268,0.037416962,0.261340414,0.178490207,-0.123716839,-0.053669559,-0.158950344,-0.336891682,0.03862647,0.03862647,0.396381659,-0.066523949,-0.003880851,0.146193427,-0.154866927,0.045676346,-0.321305291,0.02399216,0.13335876,0.13335876,1,0.10141493,0.316915749,0.049648451,-0.048733844,-0.032513644,0.000567774
wind_speed_min,0.011206027,0.006152945,-0.109010663,-0.111663667,-0.111663667,-0.043080269,0.724838894,-0.046295766,0.106238218,-0.185734769,-0.041534569,-0.019141506,-0.175193631,-0.141984627,-0.141984627,-0.190468144,0.378189735,-0.218846583,0.072943459,-0.122301489,0.057862407,0.045056277,-0.048439051,-0.072849542,-0.072849542,0.10141493,1,0.026777781,0.044107317,-0.189089767,-0.020510114,-0.018849151
station_pressure_min,-0.129820396,-0.137852202,0.064894052,0.153982308,0.153982308,0.287080655,-0.070983324,0.930361309,0.013701038,0.056729407,-0.171605152,-0.225120147,-0.018329245,0.06645338,0.06645338,0.102565793,-0.14090422,0.284778713,0.006332205,-0.04981434,0.003085011,-0.016897355,0.12615852,0.193652558,0.193652558,0.316915749,0.026777781,1,0.003025862,0.158356463,-0.023161493,-0.024729001
hourly_precip_min,0.014406102,-0.048219897,-0.016847512,-0.008685545,-0.008685545,0.036971647,0.034902767,-0.005611049,0.167754503,-0.033548706,0.003156354,-0.013080569,-0.028836226,-0.01687882,-0.01687882,0.013914317,0.016493439,-0.028693902,0.061947347,-0.032350293,0.008855181,-0.030788571,-0.006268149,-0.001845982,-0.001845982,0.049648451,0.044107317,0.003025862,1,-0.028418667,-0.003111718,-0.001932078
altimeter_min,0.038107987,0.048425323,0.019410273,0.010054066,0.010054066,-0.066934402,-0.364916117,0.183621014,-0.162195395,0.872566088,-0.002669837,-0.024518233,0.010047909,-0.033547851,-0.033547851,-0.084401974,-0.38203273,0.230208444,-0.164520537,0.618052703,0.081621647,0.137947557,0.032616066,0.044315526,0.044315526,-0.048733844,-0.189089767,0.158356463,-0.028418667,1,-0.045140212,-0.038037347
was_delayed,-0.016054154,0.000573964,0.030084957,0.024029576,0.024029576,-0.020810735,0.018527558,-0.004087171,0.030904574,-0.01588951,0.004362708,-0.005153403,0.038520972,0.039482837,0.039482837,0.018663524,0.037549434,0.041099464,0.04805802,0.016716838,-0.01583291,-0.027474209,0.00907916,0.006677179,0.006677179,-0.032513644,-0.020510114,-0.023161493,-0.003111718,-0.045140212,1,0.324460549
was_delayed_weather,-0.006971007,-0.004665111,0.03694838,0.039396812,0.039396812,0.01400988,0.01761146,-0.014053805,0.035373088,-0.026693476,0.018270102,0.008766862,0.036697579,0.044594707,0.044594707,0.039002866,0.033061609,0.008367209,0.070690438,-0.014780186,-0.013831717,-0.048241776,0.027742253,0.029576193,0.029576193,0.000567774,-0.018849151,-0.024729001,-0.001932078,-0.038037347,0.324460549,1
